# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.40659346	-80.29995896
5.41391946	-79.40778488
5.42124547	-76.65584412
5.42857148	-83.79720159
5.43589749	-71.15715561
5.44322349	-74.22249539
5.45054950	-78.72798868
5.45787551	-77.62410318
5.46520152	-82.25128415
5.47252752	-77.36177951
5.47985353	-74.17581944
5.48717954	-74.05249798
5.49450554	-73.14898682
5.50183155	-75.44334053
5.50915756	-80.76093294
5.51648357	-81.32664386
5.52380957	-81.56535637
5.53113558	-81.31331821
5.53846159	-77.19271051
5.54578760	-84.91514093
5.55311360	-76.94960865
5.56043961	-76.66968362
5.56776562	-82.28176672
5.57509163	-78.19522983
5.58241763	-80.75375339
5.58974364	-81.80400454
5.59706965	-81.85911081
5.60439566	-81.29001543
5.61172166	-75.30684328
5.61904767	-77.26097777
5.62637368	-82.83277108
5.63369969	-86.49609508
5.64102569	-85.04409593
5.64835170	-80.81480710
5.65567771	-77.76147871
5.66300371	-81.99754418
5.67032972	-80.61265752
5.67765573	-79.73789794
5.68498174	-86.01625399
5.69230774	-85.51173135
5.69963375	-73.50938557
5.70695976	-73.51358610
5.71428577	-75.57994079
5.72161177	-76.00352385
5.72893778	-81.96765662
5.73626379	-76.97340652
5.74358980	-77.91506284
5.75091580	-82.91677537
5.75824181	-79.99677473
5.76556782	-81.32942083
5.77289383	-79.00812821
5.78021983	-86.02957954
5.78754584	-74.93523863
5.79487185	-77.17068731
5.80219786	-109.85668695
5.80952386	-78.11210400
5.81684987	-81.79331822
5.82417588	-75.79811481
5.83150188	-81.08871443
5.83882789	-79.62718589
5.84615390	-96.98672313
5.85347991	-78.65983293
5.86080591	-74.01257805
5.86813192	-81.58231814
5.87545793	-78.41053554
5.88278394	-79.79477347
5.89010994	-81.15352181
5.89743595	-89.51459558
5.90476196	-78.55251482
5.91208797	-70.45451997
5.91941397	-80.16201361
5.92673998	-74.34979044
5.93406599	-88.50321756
5.94139200	-78.66756584
5.94871800	-76.61241500
5.95604401	-72.52730958
5.96337002	-79.83941754
5.97069603	-81.57770080
5.97802203	-80.93436997
5.98534804	-81.09240601
5.99267405	-81.93541564
6.00000006	-75.04574216
6.00732606	-85.96138148
6.01465207	-89.69803309
6.02197808	-75.33959254
6.02930408	-84.53462488
6.03663009	-78.70578315
6.04395610	-80.31280807
6.05128211	-77.52823400
6.05860811	-88.37074113
6.06593412	-91.11490535
6.07326013	-79.46771344
6.08058614	-74.93534375
6.08791214	-75.54746484
6.09523815	-77.16226499
6.10256416	-91.22425078
6.10989017	-84.95083780
6.11721617	-81.60902655
6.12454218	-84.54412117
6.13186819	-77.30744845
6.13919420	-93.28851438
6.14652020	-82.09831593
6.15384621	-75.34041030
6.16117222	-78.91971803
6.16849823	-88.40375421
6.17582423	-85.81344424
6.18315024	-83.58801979
6.19047625	-85.36195832
6.19780225	-78.45056497
6.20512826	-86.00952547
6.21245427	-77.91559459
6.21978028	-78.66260794
6.22710628	-87.31218061
6.23443229	-87.84741565
6.24175830	-73.61988019
6.24908431	-74.47871792
6.25641031	-80.69622225
6.26373632	-77.54968250
6.27106233	-84.63583210
6.27838834	-74.83433383
