# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.36263741	-82.50141970
5.36996342	-82.01802328
5.37728943	-84.96239291
5.38461543	-87.92622810
5.39194144	-83.80023559
5.39926745	-92.89797468
5.40659346	-82.66568985
5.41391946	-85.49660857
5.42124547	-86.90231644
5.42857148	-86.32901914
5.43589749	-85.54869291
5.44322349	-87.64035389
5.45054950	-88.55007856
5.45787551	-84.26303551
5.46520151	-85.00483775
5.47252752	-90.44237591
5.47985353	-84.77616722
5.48717954	-84.53996149
5.49450554	-88.64078614
5.50183155	-89.53397206
5.50915756	-94.58659637
5.51648357	-90.86034643
5.52380957	-91.06333001
5.53113558	-90.00582733
5.53846159	-84.23065506
5.54578760	-86.75505437
5.55311360	-87.94968910
5.56043961	-82.08390136
5.56776562	-84.33643530
5.57509163	-79.52645548
5.58241763	-90.52408298
5.58974364	-84.14346512
5.59706965	-84.07208649
5.60439566	-87.30033945
5.61172166	-83.15520870
5.61904767	-80.12706818
5.62637368	-82.86938408
5.63369968	-83.88921680
5.64102569	-86.16064099
5.64835170	-92.15896707
5.65567771	-83.27381088
5.66300371	-89.33264353
5.67032972	-99.07952464
5.67765573	-82.62611957
5.68498174	-82.59295851
5.69230774	-79.71005109
5.69963375	-90.19881581
5.70695976	-88.16062924
5.71428577	-85.05578090
5.72161177	-92.75617947
5.72893778	-84.07545211
5.73626379	-79.64293943
5.74358980	-81.09160404
5.75091580	-84.79122170
5.75824181	-91.60614995
5.76556782	-85.46988825
5.77289383	-98.77379317
5.78021983	-93.44113112
5.78754584	-85.30312368
5.79487185	-81.88881398
5.80219785	-82.49280682
5.80952386	-83.26301844
5.81684987	-85.61084151
5.82417588	-86.42672339
5.83150188	-84.42622207
5.83882789	-87.35117353
5.84615390	-89.00340717
5.85347991	-96.80362484
5.86080591	-81.97670350
5.86813192	-85.54045981
5.87545793	-90.33473354
5.88278394	-86.52320806
5.89010994	-84.38281806
5.89743595	-90.23637259
5.90476196	-85.06970657
5.91208797	-99.17763254
5.91941397	-96.66541788
5.92673998	-87.51150162
5.93406599	-94.65820624
5.94139200	-80.92801580
5.94871800	-84.40886676
5.95604401	-85.52838631
5.96337002	-87.24370672
5.97069602	-83.13617500
5.97802203	-84.28860746
5.98534804	-91.50891234
5.99267405	-87.75993341
6.00000005	-88.78895664
6.00732606	-112.36409246
6.01465207	-85.02849901
6.02197808	-83.62201211
6.02930408	-83.17348873
6.03663009	-96.42421435
6.04395610	-84.88110208
6.05128211	-88.77412924
6.05860811	-84.84429301
6.06593412	-87.24362225
6.07326013	-86.04576029
6.08058614	-83.96535034
6.08791214	-98.36795285
6.09523815	-86.94871810
6.10256416	-82.01364138
6.10989017	-81.99008450
6.11721617	-86.76087613
6.12454218	-86.74065803
6.13186819	-92.10546980
6.13919419	-82.19241472
6.14652020	-79.48758031
6.15384621	-89.81174401
6.16117222	-109.82898823
6.16849822	-91.14340574
6.17582423	-103.18929336
6.18315024	-97.23864376
6.19047625	-84.47278157
6.19780225	-87.80415139
6.20512826	-80.90202339
6.21245427	-88.79797323
6.21978028	-87.55416264
6.22710628	-89.35571426
6.23443229	-94.97990306
6.24175830	-93.88432603
6.24908431	-88.64161398
6.25641031	-91.72993963
6.26373632	-82.18397321
6.27106233	-87.64768934
6.27838834	-92.35244575
6.28571434	-82.86040056
6.29304035	-82.36840406
6.30036636	-82.87798878
6.30769236	-86.94305560
