# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-208.50000018	-2.35750084
-208.46666685	-2.54626826
-208.43333351	-2.69205149
-208.40000018	-2.78806072
-208.36666685	-2.83100583
-208.33333351	-2.81930792
-208.30000018	-2.75395513
-208.26666685	-2.63838641
-208.23333352	-2.47753184
-208.20000018	-2.27736493
-208.16666685	-2.04434354
-208.13333352	-1.78569187
-208.10000018	-1.50867793
-208.06666685	-1.22082260
-208.03333352	-0.92839586
-208.00000018	-0.63742042
-207.96666685	-0.35354313
-207.93333352	-0.08049776
-207.90000018	0.17845813
-207.86666685	0.42065888
-207.83333352	0.64434275
-207.80000019	0.84778380
-207.76666685	1.02975460
-207.73333352	1.18949178
-207.70000019	1.32715121
-207.66666685	1.44271927
-207.63333352	1.53726629
-207.60000019	1.61190297
-207.56666685	1.66835351
-207.53333352	1.70703076
-207.50000019	1.72898268
-207.46666686	1.73478187
-207.43333352	1.72548351
-207.40000019	1.70094600
-207.36666686	1.66245127
-207.33333352	1.61133997
-207.30000019	1.54868399
-207.26666686	1.47614075
-207.23333352	1.39511968
-207.20000019	1.30741026
-207.16666686	1.21484470
-207.13333353	1.11928803
-207.10000019	1.02291650
-207.06666686	0.92796596
-207.03333353	0.83709774
-207.00000019	0.75221308
-206.96666686	0.67477351
-206.93333353	0.60578088
-206.90000019	0.54531673
-206.86666686	0.49333220
-206.83333353	0.44875227
-206.80000019	0.41012760
-206.76666686	0.37621819
-206.73333353	0.34545541
-206.70000020	0.31622148
-206.66666686	0.28696152
-206.63333353	0.25743929
-206.60000020	0.22582078
-206.56666686	0.19217004
-206.53333353	0.15649604
-206.50000020	0.11958352
-206.46666686	0.08232201
-206.43333353	0.04632817
-206.40000020	0.01271374
-206.36666687	-0.01735085
-206.33333353	-0.04291351
-206.30000020	-0.06376013
-206.26666687	-0.08033821
-206.23333353	-0.09228692
-206.20000020	-0.10105403
-206.16666687	-0.10615910
-206.13333353	-0.10835687
-206.10000020	-0.10803969
-206.06666687	-0.10540843
-206.03333354	-0.10112467
-206.00000020	-0.09600406
-205.96666687	-0.09033215
-205.93333354	-0.08466589
-205.90000020	-0.07972349
-205.86666687	-0.07551705
-205.83333354	-0.07205921
-205.80000020	-0.06932769
-205.76666687	-0.06715911
-205.73333354	-0.06572153
-205.70000020	-0.06506781
-205.66666687	-0.06499023
-205.63333354	-0.06580580
-205.60000021	-0.06757803
-205.56666687	-0.07068309
-205.53333354	-0.07473323
-205.50000021	-0.07966956
-205.46666687	-0.08540821
-205.43333354	-0.09197820
-205.40000021	-0.09909309
-205.36666687	-0.10576794
-205.33333354	-0.11140473
-205.30000021	-0.11567670
-205.26666688	-0.11758218
-205.23333354	-0.11651735
-205.20000021	-0.11223106
-205.16666688	-0.10439450
-205.13333354	-0.09332030
-205.10000021	-0.07936916
-205.06666688	-0.06258677
-205.03333354	-0.04395192
-205.00000021	-0.02437939
-204.96666688	-0.00471560
-204.93333355	0.01391527
-204.90000021	0.03038709
-204.86666688	0.04326308
-204.83333355	0.05160303
-204.80000021	0.05476203
-204.76666688	0.05261155
-204.73333355	0.04554301
-204.70000021	0.03425959
-204.66666688	0.02011902
-204.63333355	0.00441059
-204.60000021	-0.01181283
-204.56666688	-0.02698391
-204.53333355	-0.04067168
-204.50000022	-0.05194634
-204.46666688	-0.06022728
-204.43333355	-0.06574171
-204.40000022	-0.06862199
-204.36666688	-0.06917943
-204.33333355	-0.06866222
-204.30000022	-0.06768939
-204.26666688	-0.06676873
-204.23333355	-0.06754956
-204.20000022	-0.06947720
-204.16666689	-0.07313459
-204.13333355	-0.07830858
-204.10000022	-0.08466996
-204.06666689	-0.09217465
-204.03333355	-0.10005054
-204.00000022	-0.10797380
-203.96666689	-0.11586076
-203.93333355	-0.12274854
-203.90000022	-0.12882069
-203.86666689	-0.13326073
-203.83333355	-0.13644873
-203.80000022	-0.13762996
-203.76666689	-0.13687828
-203.73333356	-0.13438856
-203.70000022	-0.12970966
-203.66666689	-0.12339103
-203.63333356	-0.11554882
-203.60000022	-0.10661434
-203.56666689	-0.09662640
-203.53333356	-0.08652578
