# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-208.43333352	0.13389849
-208.40000018	0.14127493
-208.36666685	0.14886167
-208.33333352	0.15704949
-208.30000018	0.16551750
-208.26666685	0.17422196
-208.23333352	0.18352469
-208.20000018	0.19316189
-208.16666685	0.20326566
-208.13333352	0.21380254
-208.10000019	0.22461615
-208.06666685	0.23604054
-208.03333352	0.24748696
-208.00000019	0.25953018
-207.96666685	0.27171208
-207.93333352	0.28401196
-207.90000019	0.29633882
-207.86666685	0.30855038
-207.83333352	0.32018653
-207.80000019	0.33139745
-207.76666686	0.34153824
-207.73333352	0.35008447
-207.70000019	0.35690446
-207.66666686	0.36130533
-207.63333352	0.36219500
-207.60000019	0.35898919
-207.56666686	0.35030396
-207.53333352	0.33453342
-207.50000019	0.30973614
-207.46666686	0.27388849
-207.43333352	0.22415314
-207.40000019	0.15785081
-207.36666686	0.07161675
-207.33333353	-0.03758003
-207.30000019	-0.17239240
-207.26666686	-0.33432179
-207.23333353	-0.52447759
-207.20000019	-0.74114435
-207.16666686	-0.98113855
-207.13333353	-1.23907888
-207.10000019	-1.50684746
-207.06666686	-1.77499719
-207.03333353	-2.03230278
-207.00000020	-2.26769262
-206.96666686	-2.46999220
-206.93333353	-2.62958371
-206.90000020	-2.73976712
-206.86666686	-2.79567082
-206.83333353	-2.79552003
-206.80000020	-2.73982692
-206.76666686	-2.63185327
-206.73333353	-2.47662702
-206.70000020	-2.28000156
-206.66666687	-2.04894337
-206.63333353	-1.79163967
-206.60000020	-1.51540839
-206.56666687	-1.22805140
-206.53333353	-0.93741056
-206.50000020	-0.64892621
-206.46666687	-0.36831523
-206.43333353	-0.09971981
-206.40000020	0.15379565
-206.36666687	0.39040928
-206.33333353	0.60822911
-206.30000020	0.80578896
-206.26666687	0.98191074
-206.23333354	1.13607774
-206.20000020	1.26849174
-206.16666687	1.37978508
-206.13333354	1.47091210
-206.10000020	1.54401254
-206.06666687	1.59970820
-206.03333354	1.63949175
-206.00000020	1.66342823
-205.96666687	1.67220940
-205.93333354	1.66631668
-205.90000021	1.64606642
-205.86666687	1.61249019
-205.83333354	1.56665885
-205.80000021	1.50946168
-205.76666687	1.44235664
-205.73333354	1.36634738
-205.70000021	1.28274033
-205.66666687	1.19315605
-205.63333354	1.09974995
-205.60000021	1.00466141
-205.56666687	0.91085509
-205.53333354	0.82007513
-205.50000021	0.73510183
-205.46666688	0.65762739
-205.43333354	0.58886468
-205.40000021	0.52909236
-205.36666688	0.47807233
-205.33333354	0.43504706
-205.30000021	0.39845363
