# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.34798540	-97.46175990
5.35531140	-91.25191023
5.36263741	-85.48687580
5.36996342	-86.43336000
5.37728943	-86.87055309
5.38461543	-86.84207494
5.39194144	-94.61515676
5.39926745	-82.63456357
5.40659345	-88.78142841
5.41391946	-78.55742906
5.42124547	-82.67492445
5.42857148	-83.29582840
5.43589748	-85.90406964
5.44322349	-79.99424827
5.45054950	-98.91886126
5.45787551	-101.91996505
5.46520151	-84.89880451
5.47252752	-85.83037206
5.47985353	-117.40898892
5.48717954	-86.35456514
5.49450554	-95.05044235
5.50183155	-92.04693820
5.50915756	-86.60544516
5.51648357	-89.93292446
5.52380957	-90.84808602
5.53113558	-80.28193041
5.53846159	-84.96393568
5.54578760	-84.51588769
5.55311360	-95.76613950
5.56043961	-88.28135864
5.56776562	-94.68703054
5.57509162	-92.46375313
5.58241763	-84.49615001
5.58974364	-82.69470602
5.59706965	-84.21363722
5.60439565	-83.48069312
5.61172166	-87.58441802
5.61904767	-84.00479717
5.62637368	-78.75253230
5.63369968	-91.14136156
5.64102569	-87.03958613
5.64835170	-87.61743371
5.65567771	-87.36520977
5.66300371	-81.09899798
5.67032972	-88.06287989
5.67765573	-93.36068822
5.68498174	-87.74147480
5.69230774	-91.59331075
5.69963375	-95.88816986
5.70695976	-89.22091015
5.71428577	-87.54868960
5.72161177	-90.60674320
5.72893778	-89.37777260
5.73626379	-89.98439854
5.74358979	-84.18147281
5.75091580	-85.21823891
5.75824181	-93.19610265
5.76556782	-103.30190451
5.77289382	-90.51048223
5.78021983	-82.05274332
5.78754584	-82.16067352
5.79487185	-93.34681485
5.80219785	-91.86088160
5.80952386	-85.60489402
5.81684987	-96.90301177
5.82417588	-83.69481790
5.83150188	-83.13468928
5.83882789	-90.40654265
5.84615390	-89.00834957
5.85347991	-90.55964421
5.86080591	-87.40584526
5.86813192	-87.66181780
5.87545793	-104.45956566
5.88278394	-88.76765687
5.89010994	-81.53075390
5.89743595	-77.40275395
5.90476196	-82.39217605
5.91208796	-87.66622314
5.91941397	-96.59230380
5.92673998	-87.49556685
5.93406599	-84.08051960
5.94139199	-89.16278108
5.94871800	-91.89831287
5.95604401	-93.36841074
5.96337002	-85.86587635
5.97069602	-90.34167675
5.97802203	-82.46753975
5.98534804	-88.66800255
5.99267405	-82.50941556
6.00000005	-84.56158515
6.00732606	-89.91393508
6.01465207	-98.77917140
6.02197808	-89.38044874
6.02930408	-90.94713509
6.03663009	-87.77860647
6.04395610	-89.71080379
6.05128211	-83.56295536
6.05860811	-81.61108645
6.06593412	-78.36638475
6.07326013	-85.89384103
6.08058613	-83.97570014
6.08791214	-81.41789213
6.09523815	-86.87194557
6.10256416	-86.22190339
6.10989016	-84.95200119
6.11721617	-88.24980799
6.12454218	-94.55134779
6.13186819	-83.72642187
6.13919419	-89.99435527
6.14652020	-84.09387118
6.15384621	-86.18312264
6.16117222	-91.23157258
6.16849822	-95.13528787
6.17582423	-90.58928984
6.18315024	-93.13821238
6.19047625	-83.92767438
6.19780225	-84.85114057
6.20512826	-84.16217056
6.21245427	-85.23574436
6.21978028	-94.59245119
6.22710628	-84.03932389
6.23443229	-86.79414187
6.24175830	-101.04400608
6.24908430	-90.28061739
6.25641031	-82.82968190
6.26373632	-89.34204435
6.27106233	-90.04684857
6.27838833	-96.78989858
6.28571434	-96.01702222
6.29304035	-86.57304350
6.30036636	-87.53803647
6.30769236	-85.34260091
6.31501837	-97.09016221
6.32234438	-86.74860006
6.32967039	-83.40675048
6.33699639	-91.63227781
6.34432240	-83.15286252
6.35164841	-90.25626069
6.35897442	-92.16579784
6.36630042	-85.09615285
6.37362643	-83.92004297
6.38095244	-90.55483772
6.38827845	-87.49696182
6.39560445	-92.11106662
6.40293046	-86.65973719
6.41025647	-84.86073444
6.41758247	-85.32968214
6.42490848	-78.86329878
6.43223449	-78.22550848
6.43956050	-95.08918133
6.44688650	-84.28534471
6.45421251	-86.67541354
6.46153852	-102.46300868
6.46886453	-84.41588997
6.47619053	-89.91892377
6.48351654	-95.26497330
6.49084255	-84.91304138
6.49816856	-96.14458138
6.50549456	-89.25863799
6.51282057	-100.52230890
6.52014658	-94.73016671
6.52747259	-80.41987652
6.53479859	-81.13750307
6.54212460	-92.72508045
6.54945061	-87.89217480
6.55677662	-80.04848833
6.56410262	-81.97536495
6.57142863	-85.17223718
6.57875464	-78.99536412
6.58608064	-80.50571557
6.59340665	-95.43800116
6.60073266	-87.10433036
6.60805867	-89.21377757
6.61538467	-87.03914080
6.62271068	-79.02545661
6.63003669	-96.12566576
6.63736270	-81.49762169
6.64468870	-112.22024691
6.65201471	-93.08810497
6.65934072	-85.67873620
6.66666673	-84.99281079
6.67399273	-78.81605038
6.68131874	-82.32221632
6.68864475	-83.37301707
6.69597076	-86.89556832
6.70329676	-89.69560436
6.71062277	-88.22474818
6.71794878	-84.88513297
6.72527479	-88.18925351
6.73260079	-88.09494433
6.73992680	-84.76488195
6.74725281	-90.71097859
6.75457881	-96.71664176
6.76190482	-85.79232674
6.76923083	-86.44345691
6.77655684	-87.24241106
6.78388284	-80.68670321
6.79120885	-85.05413769
6.79853486	-91.01526078
6.80586087	-95.67267268
6.81318687	-93.95474343
6.82051288	-90.52392484
6.82783889	-86.10930688
6.83516490	-86.62544400
6.84249090	-90.51295891
6.84981691	-85.07108850
6.85714292	-84.95020643
6.86446893	-89.41889514
6.87179493	-89.99121564
6.87912094	-87.20025003
6.88644695	-84.48610214
6.89377296	-80.12262298
6.90109896	-82.19885277
6.90842497	-92.12130354
6.91575098	-85.26688460
6.92307698	-83.82106282
6.93040299	-99.04424105
6.93772900	-99.83515477
6.94505501	-86.48247025
6.95238101	-88.50615777
6.95970702	-85.12081536
6.96703303	-86.15635235
6.97435904	-83.91774085
6.98168504	-82.74057636
6.98901105	-81.70304770
6.99633706	-89.13332969
7.00366307	-89.95402428
7.01098907	-93.86633138
7.01831508	-86.98548187
7.02564109	-83.06067079
7.03296710	-85.03889625
7.04029310	-91.26641128
7.04761911	-91.64891253
7.05494512	-82.44100501
7.06227113	-90.96281191
7.06959713	-91.18260849
7.07692314	-82.86545347
7.08424915	-82.83553159
7.09157515	-83.44725647
7.09890116	-83.90798127
7.10622717	-80.03831894
7.11355318	-97.90006450
7.12087918	-90.27376648
7.12820519	-90.00487791
7.13553120	-82.20545732
7.14285721	-82.07390200
7.15018321	-95.72986379
7.15750922	-98.25024540
7.16483523	-85.58671242
7.17216124	-90.99034051
7.17948724	-93.50487998
7.18681325	-94.24842042
7.19413926	-87.23734317
7.20146527	-83.59105757
7.20879127	-88.70940403
7.21611728	-85.40160007
7.22344329	-83.32133910
7.23076930	-88.01965358
7.23809530	-84.22201973
7.24542131	-85.35262069
7.25274732	-99.33390711
7.26007332	-81.88634820
7.26739933	-85.79525969
7.27472534	-83.68294128
7.28205135	-78.81978279
7.28937735	-92.78663113
7.29670336	-84.57108482
7.30402937	-85.90088950
7.31135538	-104.28429230
7.31868138	-85.72505767
7.32600739	-88.62377561
7.33333340	-88.37557870
7.34065941	-83.55166017
7.34798541	-89.70933206
7.35531142	-89.42631022
7.36263743	-90.03990303
7.36996344	-87.19476146
7.37728944	-84.79166649
7.38461545	-88.98779139
7.39194146	-89.17588881
7.39926747	-91.97756522
7.40659347	-95.47813604
7.41391948	-85.60759504
7.42124549	-81.73050300
7.42857149	-93.79490220
7.43589750	-85.72152810
7.44322351	-92.50580556
7.45054952	-88.56571259
7.45787552	-85.42400044
7.46520153	-93.05693672
7.47252754	-82.35861556
7.47985355	-89.21588229
7.48717955	-83.78037231
7.49450556	-84.74122389
7.50183157	-88.60578557
7.50915758	-84.81450483
7.51648358	-91.17448369
7.52380959	-93.92887649
7.53113560	-89.72265828
7.53846161	-91.75775468
7.54578761	-92.37009803
7.55311362	-98.46123143
7.56043963	-88.66681275
7.56776564	-87.22711374
7.57509164	-79.69756765
