# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.33333332	-90.57443013
3.34065933	-77.92403377
3.34798533	-66.38462289
3.35531134	-65.20210608
3.36263735	-65.02832606
3.36996336	-64.80739479
3.37728936	-64.90276599
3.38461537	-63.40054706
3.39194138	-63.37102113
3.39926739	-62.99820890
3.40659339	-62.13824118
3.41391940	-63.56380972
3.42124541	-63.21404830
3.42857142	-63.26030975
3.43589742	-63.73378747
3.44322343	-63.95122170
3.45054944	-64.65617524
3.45787544	-63.83566313
3.46520145	-64.67114012
3.47252746	-65.84776651
3.47985347	-64.02780680
3.48717947	-64.89622645
3.49450548	-65.84547695
3.50183149	-67.28783473
3.50915750	-64.66954340
3.51648350	-64.69510819
3.52380951	-64.45055710
3.53113552	-65.18107874
3.53846152	-70.29035006
3.54578753	-68.89858668
3.55311354	-65.13808786
3.56043955	-65.10891743
3.56776555	-66.08397446
3.57509156	-65.16929598
3.58241757	-66.21013132
3.58974358	-65.99915972
3.59706958	-71.08288973
3.60439559	-88.76163293
3.61172160	-77.30491325
3.61904760	-73.35585364
3.62637361	-67.42857021
3.63369962	-65.18886123
3.64102563	-67.58487221
3.64835163	-72.75841119
3.65567764	-86.92058253
3.66300365	-77.53219967
3.67032966	-76.71029259
3.67765566	-66.99443955
3.68498167	-68.92996359
3.69230768	-69.83279339
3.69963369	-69.30703959
3.70695969	-66.41122779
3.71428570	-66.85152892
3.72161171	-66.40293642
3.72893771	-65.91334076
3.73626372	-65.40013445
3.74358973	-66.16300241
3.75091574	-65.94915045
3.75824174	-65.51652236
3.76556775	-67.41071998
3.77289376	-66.62019826
3.78021977	-66.74435990
3.78754577	-68.43815068
3.79487178	-74.38063102
3.80219779	-97.45418060
3.80952379	-86.34269415
3.81684980	-85.02099066
3.82417581	-76.16735637
3.83150182	-69.16133638
3.83882782	-68.62144952
3.84615383	-68.17485319
3.85347984	-67.37321674
3.86080585	-71.70238116
3.86813185	-67.43918445
3.87545786	-67.54813839
3.88278387	-68.78871754
3.89010987	-70.24312095
3.89743588	-69.86507153
3.90476189	-69.10661141
3.91208790	-69.90559760
3.91941390	-70.85477566
3.92673991	-71.61593152
3.93406592	-68.85356528
3.94139193	-70.56614040
3.94871793	-73.29226874
3.95604394	-84.70159858
3.96336995	-76.69814167
3.97069596	-75.00123523
3.97802196	-78.35959290
3.98534797	-86.93548180
3.99267398	-72.88047839
3.99999998	-77.35058822
4.00732599	-78.11905533
4.01465200	-72.78229023
4.02197801	-75.51625948
4.02930401	-74.56314523
4.03663002	-73.59970421
4.04395603	-77.06474231
4.05128204	-76.18446114
4.05860804	-80.07102398
4.06593405	-80.08216720
4.07326006	-76.53722266
4.08058606	-75.95236375
4.08791207	-77.65334447
4.09523808	-74.63741987
4.10256409	-72.05446372
4.10989009	-71.17558226
4.11721610	-71.16055077
4.12454211	-71.84535965
4.13186812	-72.04089750
4.13919412	-73.68375087
4.14652013	-72.09170684
4.15384614	-71.95710528
4.16117214	-83.36532215
4.16849815	-81.54128455
4.17582416	-81.03751430
