# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-210.23333351	0.00202193
-210.20000017	0.00213220
-210.16666684	0.00224994
-210.13333351	0.00227822
-210.10000018	0.00234610
-210.06666684	0.00239328
-210.03333351	0.00247024
-210.00000018	0.00252071
-209.96666684	0.00266576
-209.93333351	0.00261852
-209.90000018	0.00276982
-209.86666684	0.00273140
-209.83333351	0.00263300
-209.80000018	0.00273959
-209.76666685	0.00253934
-209.73333351	0.00256641
-209.70000018	0.00252597
-209.66666685	0.00244410
-209.63333351	0.00238623
-209.60000018	0.00234517
-209.56666685	0.00214240
-209.53333351	0.00220432
-209.50000018	0.00200885
-209.46666685	0.00190664
-209.43333352	0.00208206
-209.40000018	0.00220847
-209.36666685	0.00212366
-209.33333352	0.00217802
-209.30000018	0.00241105
-209.26666685	0.00248397
-209.23333352	0.00269012
-209.20000018	0.00278457
-209.16666685	0.00322482
-209.13333352	0.00329369
-209.10000018	0.00357189
-209.06666685	0.00391113
-209.03333352	0.00386020
-209.00000019	0.00419777
-208.96666685	0.00428366
-208.93333352	0.00433755
-208.90000019	0.00458848
-208.86666685	0.00471978
-208.83333352	0.00502088
-208.80000019	0.00512343
-208.76666685	0.00528244
-208.73333352	0.00530871
-208.70000019	0.00546531
-208.66666686	0.00551870
-208.63333352	0.00555457
-208.60000019	0.00585116
-208.56666686	0.00608496
-208.53333352	0.00641736
-208.50000019	0.00639243
-208.46666686	0.00676021
-208.43333352	0.00704130
-208.40000019	0.00733104
-208.36666686	0.00756669
-208.33333353	0.00780231
-208.30000019	0.00821509
-208.26666686	0.00857549
-208.23333353	0.00889665
-208.20000019	0.00932695
-208.16666686	0.00971781
-208.13333353	0.01011401
-208.10000019	0.01057729
-208.06666686	0.01114219
-208.03333353	0.01163508
-208.00000019	0.01231735
-207.96666686	0.01274887
-207.93333353	0.01351817
-207.90000020	0.01411776
-207.86666686	0.01486210
-207.83333353	0.01568148
-207.80000020	0.01635005
